shop_name,address,mean_price,review_num,takeaway,longitude,latitude
Dont Yell At Me不要对我尖叫日常茶间,建式春91号院7号楼玉下一层B108单元,22,618,True,116.79616802408498,40.60573199383038
RICHTEA富茶牌,北京市朝阳区阜安东春望京SOHOT3底商3116,21,175,True,116.48686598614479,40.00224640503228
cococean椰子水(那里花园店),三里屯北街81号那里花园D109,44,2072,True,116.46146460123916,39.94193508037204
1點點(中关村店),中关村大街20号,17,359,True,116.32368708347684,39.98810286931608
逗葉Doyatee(望京店),广顺北大街望京西园二区京电底商综合楼1-1层008,55,814,True,116.47823219222731,40.01023606370079
书亦烧仙草(通州万达店),新华西街58号院1号楼1层189号,13,356,True,116.64503171974475,39.9113094638756
LELECHA乐乐茶(合生汇二店),西大望春21号合生汇购物中心B1-28号商铺,37,1148,True,116.48677992847693,39.89988374376589
一芳台湾水果茶(顺义鑫海店),府前西街1号1幢3层F3-19,18,151,True,116.65744063807641,40.13736618317973
1點點(通州万达店),新华南一街万达金街B区二层,17,300,True,116.54267380164738,39.969119562980694
品质伊骊(人大创始店),小南庄110号,84,5861,True,116.31252240361553,39.97023023850796
ChaTraMue手标泰茶(远洋未来广场店),北四九8号远洋未来广场1层17,20,244,True,116.4389712109304,39.99650412584437
KOI Thé(朝阳合生汇菁选店),西大望春甲22号院1号楼合生汇购物中心L6层L6-04号,28,1895,False,116.48677992847693,39.89988374376589
世界茶饮(通州万达店),新华西街60号通鱼万达广场金街A区130号,20,394,True,116.64811478959402,39.9114578549879
椒鸣椒麻小馆·浩瀚星空(华宇店),中关村南大街2号华宇购物中心四层,83,3750,True,116.75242288134338,40.142744618460455
球球奶,工人体育场北春8号三里屯soho2号商场1层2-102街边店,22,613,True,116.45357604157273,39.937016087694744
ChaTraMue手标泰茶(朝阳大悦城店),朝阳北春101号朝阳大悦城B1层永旺自助结账区附近,21,647,False,116.52468545658982,39.931257009782236
1點點(三里屯soho店),工体北春8号三里屯soho6号商场6118,16,1466,True,116.4133836971231,39.910924547299565
